id,name,brand,kind,status,physicalCount,functionSheetCount,functionTableCount,purposeRows,completeDeviceApproved,missing
guition-cyd-jc4827w543,JC4827W543,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc4827w543c,JC4827W543C,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc4880p443c-i-w,JC4880P443C_I_W,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc8012p4a1c-i-w,JC8012P4A1C_I_W,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc8048w550,JC8048W550,Guition,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
guition-cyd-jc8048w550c,JC8048W550C,Guition,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-1732s019c,esp32-1732S019C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-1732s019n,esp32-1732S019N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2424s012c,esp32-2424S012C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2424s012n,esp32-2424S012N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s022c,esp32-2432S022C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s022n,esp32-2432S022N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s024,ESP32-2432S024,Sunton,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s024c,esp32-2432S024C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s024n,esp32-2432S024N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s024r,esp32-2432S024R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s028,ESP32-2432S028,Sunton,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s028r,ESP32-2432S028R,Sunton,board,pinout-source,3,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s028rv2,esp32-2432S028Rv2,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s028rv3,esp32-2432S028Rv3,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s032c,esp32-2432S032C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s032c-i,ESP32-2432S032C-I,Sunton,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s032n,esp32-2432S032N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-2432s032r,esp32-2432S032R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-3248s035c,ESP32-3248S035C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-3248s035r,ESP32-3248S035R,Sunton,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-4827s043c,esp32-4827S043C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-4827s043n,esp32-4827S043N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-4827s043r,esp32-4827S043R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-4848s040ciy1,esp32-4848S040CIY1,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-4848s040ciy3,esp32-4848S040CIY3,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s043c,esp32-8048S043C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s043n,esp32-8048S043N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s043r,esp32-8048S043R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s050c,esp32-8048S050C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s050n,esp32-8048S050N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s050r,esp32-8048S050R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s070c,esp32-8048S070C,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s070n,esp32-8048S070N,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
sunton-cyd-esp32-8048s070r,esp32-8048S070R,Sunton,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
01space-esp32-esp32-c3-0-42lcd,ESP32-C3-0.42LCD,01space,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-huzzah32,Adafruit Feather HUZZAH32,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-huzzah32-breakout,Adafruit HUZZAH32 Breakout,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-itsybitsy-esp32,Adafruit ItsyBitsy ESP32,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-mini-sparkle-motion,Adafruit Mini Sparkle Motion,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-p4-gpio,Adafruit P4 GPIO,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-pico,Adafruit QT Py ESP32 Pico,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-s2-including-ufl-version,Adafruit QT Py ESP32-S2 (including uFL version),Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-s3-4mb-flash-2mb-psram,Adafruit QT Py ESP32-S3 4MB Flash/2MB PSRAM,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-s3-8mb-flash-no-psram,Adafruit QT Py ESP32-S3 8MB Flash No PSRAM,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-sparkle-motion,Adafruit Sparkle Motion,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-vindie-s2,Adafruit Vindie S2,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-esp32-s2-reverse-tft-feather,ESP32-S2 Reverse TFT Feather,Adafruit,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-esp32-s3-reverse-tft-feather,ESP32-S3 Reverse TFT Feather,Adafruit,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-v2,Feather ESP32 V2,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-c6-4mb-flash-no-psram,Feather ESP32-C6 4MB Flash No PSRAM,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s2,Feather ESP32-S2,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s2-with-bme280-sensor,Feather ESP32-S2 with BME280 Sensor,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s2-with-tft,Feather ESP32-S2 with TFT,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s3,Feather ESP32-S3,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s3-4mb-flash-2mb-psram,Feather ESP32-S3 4MB Flash 2MB PSRAM,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s3-8mb-flash-no-psram,Feather ESP32-S3 8MB Flash No PSRAM,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-esp32-s3-tft-psram,Feather ESP32-S3 TFT PSRAM,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-feather-huzzah-esp8266,Feather HUZZAH ESP8266,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-funhouse-wifi-home-automation-development-board,FunHouse - WiFi Home Automation Development Board,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-magtag-2-9-grayscale-e-ink-wifi-display,"MagTag - 2.9\"" Grayscale E-Ink WiFi Display",Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-matrixportal-s3,MatrixPortal S3,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-memento-python-programmable-diy-camera,MEMENTO - Python Programmable DIY Camera,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-metro-esp32-s2,Metro ESP32-S2,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-metro-esp32-s3,Metro ESP32-S3,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-c3,QT Py ESP32-C3,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qt-py-esp32-s3,QT Py ESP32-S3,Adafruit,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
adafruit-esp32-qualia-esp32-s3-for-ttl-rgb-666-displays,Qualia ESP32-S3 for TTL RGB-666 Displays,Adafruit,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
ai-thinker-esp32-ai-thinker-esp32-cam,Ai Thinker ESP32-CAM,Ai-Thinker,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
ai-thinker-esp32-esp-c3-32s,ESP-C3-32S,Ai-Thinker,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
ai-thinker-esp32-esp-c3-32s-2m,ESP-C3-32S (2M),Ai-Thinker,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
ai-thinker-esp32-nodemcu-esp-12k,NodeMCU ESP-12K,Ai-Thinker,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
arduino-esp32-nano-esp32,Nano ESP32,Arduino,board,pinout-source,8,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
arduino-esp32-nano-esp32-with-inverted-status-led,Nano ESP32 with inverted Status LED,Arduino,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
atmegazero-esp32-esp32-s2,ATMegaZero ESP32-S2,ATMegaZero,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
autosport-labs-esp32-esp32-can-x2,Autosport Labs ESP32-CAN-X2,Autosport Labs,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
banana-pi-esp32-bpi-bit,BPI-Bit,Banana Pi,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
banana-pi-esp32-bpi-bit-s2,BPI-Bit-S2,Banana Pi,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
banana-pi-esp32-bpi-centi-s3,BPI-Centi-S3,Banana Pi,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
banana-pi-esp32-bpi-leaf-s3,BPI-Leaf-S3,Banana Pi,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
banana-pi-esp32-bpi-picow-s3,BPI-PicoW-S3,Banana Pi,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
brainboardz-inc-esp32-brainboardz-neuron,BrainBoardz Neuron,BrainBoardz Inc.,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
cezerio-esp32-dev-esp32c6,cezerio dev ESP32C6,cezerio,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
cezerio-esp32-mini-dev-esp32c6,cezerio mini dev ESP32C6,cezerio,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
circuitart-esp32-esp32s3-zero,CircuitArt ESP32S3 Zero,CircuitArt,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
community-esp32-alpstuga-drop-in-esp32-s3,ALPSTUGA Drop-In ESP32-S3,Community,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
crcibernetica-esp32-ideaboard,CRCibernetica IdeaBoard,CRCibernetica,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
crumpspace-esp32-crumps2,CrumpSpace CrumpS2,CrumpSpace,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
cytron-technologies-esp32-maker-feather-aiot-s3,Maker Feather AIoT S3,Cytron Technologies,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
czech-maker-make-more-esp32-maker-badge,Maker badge,Czech maker & Make More,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
dfrobot-esp32-beetle-esp32-c3,DFRobot Beetle ESP32-C3,DFRobot,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
dfrobot-esp32-firebeetle-2-esp32-c5-dfr1222,FireBeetle 2 ESP32-C5 DFR1222,DFRobot,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
dfrobot-esp32-firebeetle-2-esp32-s3,FireBeetle 2 ESP32-S3,DFRobot,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
doit-esp32-esp32-development-board,DOIT ESP32 Development Board,DOIT,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
doit-esp32-esp32-devkit-v1,ESP32 DEVKIT V1,DOIT,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
double-take-labs-esp32-columbia-dsl-sensor,Columbia DSL Sensor,Double Take Labs,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
dronecz-esp32-es3ink,ES3ink,dronecz,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-2-4-hmi-esp32-ai-display,CrowPanel Advance 2.4-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-2-8-hmi-esp32-ai-display,CrowPanel Advance 2.8-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-3-5-hmi-esp32-ai-display,CrowPanel Advance 3.5-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-4-3-hmi-esp32-ai-display,CrowPanel Advance 4.3-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-5-0-hmi-esp32-ai-display,CrowPanel Advance 5.0-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advance-7-0-hmi-esp32-ai-display,CrowPanel Advance 7.0-HMI ESP32 AI Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advanced-esp32-p4-10-1-inch,CrowPanel Advanced ESP32-P4 10.1-inch,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advanced-esp32-p4-5-inch,CrowPanel Advanced ESP32-P4 5-inch,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advanced-esp32-p4-7-inch,CrowPanel Advanced ESP32-P4 7-inch,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-advanced-esp32-p4-9-inch,CrowPanel Advanced ESP32-P4 9-inch,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-1-28-inch-round-display,CrowPanel ESP32 1.28-inch Round Display,Elecrow,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-e-paper-hmi-5-79-inch-display,CrowPanel ESP32 E-Paper HMI 5.79-inch Display,Elecrow,board,reference-only,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-2-4-inch-display,CrowPanel ESP32 HMI 2.4-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-2-8-inch-display,CrowPanel ESP32 HMI 2.8-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-3-5-inch-display,CrowPanel ESP32 HMI 3.5-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-4-3-inch-display,CrowPanel ESP32 HMI 4.3-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-5-0-inch-display,CrowPanel ESP32 HMI 5.0-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-esp32-hmi-7-0-inch-display,CrowPanel ESP32 HMI 7.0-inch Display,Elecrow,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-3-5,Elecrow CrowPanel 3.5,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-crowpanel-4-2,Elecrow CrowPanel 4.2,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
elecrow-esp32-esp32-wi-fi-halow-camera-board,ESP32 Wi-Fi HaLow Camera Board,Elecrow,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
electronic-cats-esp32-bast-wifi,Bast Wifi,Electronic Cats,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp-eye,ESP-EYE,Espressif,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c3-devkit-rust-2,ESP32-C3-DEVKIT-RUST-2,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c3-devkitc-02,ESP32-C3-DEVKITC-02,Espressif,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c3-devkitm-1,ESP32-C3-DEVKITM-1,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c3-devkitm-1-n4,ESP32-C3-DevKitM-1-N4,Espressif,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c3-lyra-v2-0,ESP32-C3-Lyra V2.0,Espressif,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c5-devkitc-1,ESP32-C5-DEVKITC-1,Espressif,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c5-devkitc-1-v1-1,ESP32-C5-DEVKITC-1 v1.1,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c5-devkitc-1-v1-2,ESP32-C5-DEVKITC-1 v1.2,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c5-devkitc-1-n8r8,ESP32-C5-DevKitC-1-N8R8,Espressif,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c6-devkitc-1,ESP32-C6-DEVKITC-1,Espressif,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c6-devkitc-1-n8,ESP32-C6-DevKitC-1-N8,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c6-devkitm-1,ESP32-C6-DEVKITM-1,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c6-devkitm-1-n4,ESP32-C6-DevKitM-1-N4,Espressif,board,missing,0,0,0,0,False,Physical connector map; Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c61-devkitc-1,ESP32-C61-DEVKITC-1,Espressif,board,pinout-source,2,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c61-devkitc-1-v1-0,ESP32-C61-DEVKITC-1 v1.0,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
espressif-esp32-esp32-c61-devkitc-1-v2-0,ESP32-C61-DEVKITC-1 v2.0,Espressif,board,pinout-source,1,0,0,0,False,Independent all-connector completeness review; Revision match and electrical limits
